Section,#,Screen ID,Module,UI Screen,URD_ID,Status,Page Link,Notes
Landing page,1,LP-01,Landing Page,Job Seeker Public page,,Completed,https://lamviec360-layout.vercel.app/,
Landing page,2,LP-02,Landing Page,Employer Public page,,Completed,https://lamviec360-layout.vercel.app/employers,
Job Seeker,1,JS-01,Authentication,Job Seeker Registration,"AUTH-FR-001, AUTH-FR-002",Completed,https://lamviec360-layout.vercel.app/register,
Job Seeker,2,JS-02,Authentication,Email / Mobile OTP Verification,AUTH-FR-001,Completed,https://lamviec360-layout.vercel.app/verify-email,
Job Seeker,3,JS-03,Authentication,Job Seeker Login,"AUTH-FR-002, AUTH-FR-005",Completed,https://lamviec360-layout.vercel.app/login,
Job Seeker,4,JS-04,Authentication,Forgot Password,AUTH-FR-004,Completed,https://lamviec360-layout.vercel.app/forgot-password,
Job Seeker,5,JS-05,Authentication,Reset Password,AUTH-FR-004,Completed,https://lamviec360-layout.vercel.app/reset-password,
Job Seeker,6,JS-06,Onboarding,Job Seeker Profile Setup,AUTH-FR-008,Completed,https://lamviec360-layout.vercel.app/onboarding,6-step wizard (Personal / Professional / Education / Experience / Resume & Preferences / Completion)
Job Seeker,7,JS-07,Onboarding,Profile Completion,JSP-FR-011,Completed,https://lamviec360-layout.vercel.app/onboarding,Final step (Completion) of the same wizard
Job Seeker,8,JS-08,Dashboard,Job Seeker Dashboard,JSP-FR-010,Completed,https://lamviec360-layout.vercel.app/dashboard,
Job Seeker,9,JS-09,Dashboard,Job Recommendations / Similar Jobs,JSP-FR-010,Completed,https://lamviec360-layout.vercel.app/dashboard#recommended,
Job Seeker,10,JS-10,Notifications,Notification Center,"NTF-FR-003, JSP-FR-008",Completed,https://lamviec360-layout.vercel.app/notifications,
Job Seeker,11,JS-11,Profile,My Profile,JSP-FR-004,Completed,https://lamviec360-layout.vercel.app/settings,Profile tab
Job Seeker,12,JS-12,Profile,Edit Personal Details,JSP-FR-004,Completed,https://lamviec360-layout.vercel.app/settings,Profile tab > Personal
Job Seeker,13,JS-13,Profile,Work Experience,JSP-FR-004,Completed,https://lamviec360-layout.vercel.app/settings,Profile tab > Experience
Job Seeker,14,JS-14,Profile,Education,JSP-FR-004,Completed,https://lamviec360-layout.vercel.app/settings,Profile tab > Education
Job Seeker,15,JS-15,Profile,Skills & Expertise,JSP-FR-004,Completed,https://lamviec360-layout.vercel.app/settings,Profile tab > Skills
Job Seeker,16,JS-16,Profile,Languages,JSP-FR-004,Completed,https://lamviec360-layout.vercel.app/settings,Profile tab > Languages
Job Seeker,17,JS-17,Profile,Desired Salary,JSP-FR-004,Completed,https://lamviec360-layout.vercel.app/settings,Profile tab > Desired Salary
Job Seeker,18,JS-18,Resume,Resume Management,JSP-FR-004,Completed,https://lamviec360-layout.vercel.app/resume,Dedicated résumé page: current file card + download/replace/remove
Job Seeker,19,JS-19,Resume,Upload Resume,JSP-FR-004,Completed,https://lamviec360-layout.vercel.app/resume,Upload/replace with type+size validation; also in onboarding step 5 and apply step 2
Job Seeker,20,JS-20,Resume,Resume Preview,JSP-FR-004,Completed,https://lamviec360-layout.vercel.app/resume,Inline PDF/image preview; fallback for DOC/DOCX
Job Seeker,21,JS-21,Job Search,Public Job Search,JSP-FR-001,Completed,https://lamviec360-layout.vercel.app/jobs,
Job Seeker,22,JS-22,Job Search,Search Results,JSP-FR-002,Completed,https://lamviec360-layout.vercel.app/jobs?q=engineer,Same page; supports ?q= ?loc= ?type= ?company=
Job Seeker,23,JS-23,Job Search,Job Filters,JSP-FR-001,Completed,https://lamviec360-layout.vercel.app/jobs,Filter sidebar on the same page
Job Seeker,24,JS-24,Job Search,Job Details,"JSP-FR-003, JSP-FR-010",Completed,https://lamviec360-layout.vercel.app/job-detail?id=2,
Job Seeker,25,JS-25,Job Search,Company / Employer Details,JSP-FR-003,Open,https://lamviec360-layout.vercel.app/companies,No dedicated company profile page; company info shown inside job-detail and "All jobs at this company" links to /jobs?company=
Job Seeker,26,JS-26,Job Application,Apply Job,JSP-FR-005,Completed,https://lamviec360-layout.vercel.app/apply/2,6-step wizard (Review Profile / Resume / Questions / Additional / Review / Consent)
Job Seeker,27,JS-27,Job Application,Application Consent,"JSP-FR-005, BR-011",Completed,https://lamviec360-layout.vercel.app/apply/2,Step 6 (Consent & submit) of the apply wizard
Job Seeker,28,JS-28,Job Application,Application Confirmation,JSP-FR-005,Completed,https://lamviec360-layout.vercel.app/apply/2,Success state after submit (also creates a notification)
Job Seeker,29,JS-29,Job Search,Saved Jobs,JSP-FR-006,Completed,https://lamviec360-layout.vercel.app/saved-jobs,
Job Seeker,30,JS-30,Applications,My Applications,JSP-FR-007,Completed,https://lamviec360-layout.vercel.app/applications,
Job Seeker,31,JS-31,Applications,Application Details,JSP-FR-007,Completed,https://lamviec360-layout.vercel.app/applications/APP-1001,Valid demo IDs: APP-1001 .. APP-1004
Job Seeker,32,JS-32,Applications,Application Tracker / Timeline,"JSP-FR-007, JSP-FR-007b",Completed,https://lamviec360-layout.vercel.app/applications/APP-1001,Timeline is on the application detail page
Job Seeker,33,JS-33,Interview,Interview Invitation,"JSP-FR-008, NTF-FR-001",Completed,https://lamviec360-layout.vercel.app/interviews,List of invitations/interviews; invited state has Accept/Decline; notifications deep-link here
Job Seeker,34,JS-34,Interview,Interview Details,JSP-FR-008,Completed,https://lamviec360-layout.vercel.app/interviews/APP-1002,Full meta + add-to-calendar + join window + prep checklist; linked from application detail
Job Seeker,35,JS-35,Interview,AI Interview Preparation,JSP-FR-009,Completed,https://lamviec360-layout.vercel.app/ai-interview-prep,
Job Seeker,36,JS-36,Settings,Notification Preferences,NTF-FR-005,Completed,https://lamviec360-layout.vercel.app/settings,Notifications tab
Job Seeker,37,JS-37,Settings,Account / Profile Settings,AUTH-FR-006,Completed,https://lamviec360-layout.vercel.app/settings,Account tab
Job Seeker,38,JS-38,Settings,Logout / Session End,AUTH-FR-006,Completed,https://lamviec360-layout.vercel.app/settings,Account tab > Logout
Employer,1,EMP-01,Authentication,Company Registration,"AUTH-FR-001, EMP-FR-001",Completed,https://lamviec360-layout.vercel.app/company-register,
Employer,2,EMP-02,Authentication,Company Email Verification,"AUTH-FR-001, EMP-FR-002",Completed,https://lamviec360-layout.vercel.app/company-verify-email,Employer OTP screen; company-register submits here then -> pending approval
Employer,3,EMP-03,Authentication,Company Admin Login,AUTH-FR-005,Completed,https://lamviec360-layout.vercel.app/employer-login,
Employer,4,EMP-04,Authentication,Company Admin 2FA / OTP,AUTH-FR-003,Completed,https://lamviec360-layout.vercel.app/employer-login,Password step -> OTP challenge step (beginLogin/completeLogin); resend timer + back
Employer,5,EMP-05,Authentication,Forgot / Reset Password,AUTH-FR-004,Completed,https://lamviec360-layout.vercel.app/forgot-password,Shared with job seeker (also /reset-password)
Employer,6,EMP-06,Onboarding,Pending Approval,EMP-FR-002,Completed,https://lamviec360-layout.vercel.app/company-pending-approval,Status page with 3-step tracker; reads company.approvalStatus; demo "simulate approval"
Employer,7,EMP-07,Onboarding,Company Profile Setup,EMP-FR-003,Open,https://lamviec360-layout.vercel.app/company/settings,Company Profile tab; no separate onboarding flow
Employer,8,EMP-08,Onboarding,Subscription Plan Selection,"EMP-FR-003, EMP-FR-029",Completed,https://lamviec360-layout.vercel.app/company/billing,Plan cards (Freemium / Professional / Enterprise)
Employer,9,EMP-09,Onboarding,First Team Member Invitation,"EMP-FR-003, EMP-FR-025",Open,https://lamviec360-layout.vercel.app/company/team,No separate first-run screen; uses Team Management invite
Employer,10,EMP-10,Dashboard,Employer Dashboard,"EMP-FR-005, EMP-FR-006",Completed,https://lamviec360-layout.vercel.app/company/overview,
Employer,11,EMP-11,Company,Company Profile,EMP-FR-008,Completed,https://lamviec360-layout.vercel.app/company/settings,Company Profile tab
Employer,12,EMP-12,Jobs,Job Management,"EMP-FR-007, EMP-FR-011, EMP-FR-012",Completed,https://lamviec360-layout.vercel.app/company/jobs,
Employer,13,EMP-13,Jobs,Create Job,"EMP-FR-009, EMP-FR-030",Completed,https://lamviec360-layout.vercel.app/company/jobs/new,
Employer,14,EMP-14,Jobs,AI Generate JD,EMP-FR-010,Completed,https://lamviec360-layout.vercel.app/company/jobs/new,"""AI Generate JD"" modal on the create/edit form"
Employer,15,EMP-15,Jobs,AI Generated JD Review / Confirm,EMP-FR-010,Completed,https://lamviec360-layout.vercel.app/company/jobs/new,Review step inside the AI JD modal before it is inserted
Employer,16,EMP-16,Jobs,Job Draft,EMP-FR-011,Completed,https://lamviec360-layout.vercel.app/company/jobs,Draft-status rows in Job Management
Employer,17,EMP-17,Jobs,Edit / Pause / Close / Duplicate Job,EMP-FR-012,Completed,https://lamviec360-layout.vercel.app/company/jobs,Row actions in Job Management
Employer,18,EMP-18,Jobs,Published Job Details,"EMP-FR-011, EMP-FR-014",Completed,https://lamviec360-layout.vercel.app/company/jobs/JOB-2001,Valid demo IDs: JOB-2001 .. JOB-2004
Employer,19,EMP-19,Candidates,Candidate Pipeline,"EMP-FR-015, EMP-FR-016",Completed,https://lamviec360-layout.vercel.app/company/candidates,Supports ?job=JOB-2001
Employer,20,EMP-20,Candidates,Candidate Filters / Sort,EMP-FR-023,Completed,https://lamviec360-layout.vercel.app/company/candidates,Filter/sort controls on the same page
Employer,21,EMP-21,Candidates,Candidate Card / List,EMP-FR-017,Completed,https://lamviec360-layout.vercel.app/company/candidates,
